sentence;type;entities
Có hỗ trợ trả góp qua thẻ ngân hàng hay tín dụng không;hoi_tra_gop;IS_SUPPORTED_INSTALLMENT_THROUGH_CREDIT:trả góp qua thẻ ngân hàng
Có trả góp qua thẻ ngân hàng hay tín dụng không;hoi_tra_gop;IS_SUPPORTED_INSTALLMENT_THROUGH_CREDIT:trả góp qua thẻ ngân hàng
Cần giấy tờ gì để mang ra làm thủ tục trả góp được nhỉ;hoi_tra_gop;WHAT_NEEDED_PAPERS:Cần giấy tờ gì
Kính cường lực bị vỡ có bảo hành không vậy;hoi_bao_hanh;IS_BROKEN_GLASS:Kính cường lực bị vỡ
Vừa mua mà hư loa rồi, cứ rè rè mai ra đổi;hoi_bao_hanh;IS_BROKEN_VOLUME:hư loa
không lấy quà tặng giá bao nhiêu ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà tặng giá bao nhiêu
A9 2018.neu tru gif 1500k minh ko lay km cua cellphones co dc ko.gia tot nhat nhu nao ad;hoi_gia;PHONE:A9 2018|IS_PRICE_AFTER_SALE_OFF_PRICE:ko lay km
Quà of cellphone là quà gì v à;hoi_khuyen_mai;SALE_OFF_GIFF:Quà of cellphone
Tư vấn giùm nếu không quà tặg thì giảm bao nhiêu nữa ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không quà tặg thì giảm bao nhiêu
Mua tra gop đua truoc nhieu vay;hoi_tra_gop;IS_NEEDED:Mua tra gop đua truoc nhieu vay
ko lấy quà tặng thì giá báo nhiêu ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy quà tặng
Tư vấn cho mình giá không lấy quà tặng nhé ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà tặng
Nếu kh lấy quà tặng có được trừ vào sản phẩm kh Ad ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:kh lấy quà tặng
Nếu trừ hết quà tặng thì máy còn bao nhiêu và trả góp 30% hay 50%  như thế nào ạ, mong cửa hàng giải đáp ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ hết quà tặng
Ko lấy quà có được ko vậy;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Ko lấy quà
Cellphones có tiệm nào ở biên hòa không? Nhận điện thoại rồi thanh toán trực tiếp được không???;hoi_dia_chi;LOCATION:biên hòa
đặt trc ngoài quà tặng samsung còn đc tặng thêm gì nữa ko ad;hoi_khuyen_mai;SALE_OFF_GIFF:còn đc tặng thêm gì
Trả trước 30% góp 12th mỗi tháng góp nhiêu vập bạn;hoi_tra_gop;HOW_MUCH_FIRST_PAY:30%|HOW_MUCH_LEFT:góp 12th
Nếu không nhận khuyến mãi thì có được trừ tiền vào sản phẩm không shop ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không nhận khuyến mãi
trả trước 10% và gop 12thang đc ko ạ;hoi_tra_gop;IS_NEEDED:gop 12thang
Có trả trước 10% và góp trong 9 tháng ko;hoi_tra_gop;IS_NEEDED:góp trong 9 tháng
a9 có chống nước chống bụi ko vậy;hoi_phan_cung;PHONE:a9|IS_WATER_PROTECTED:chống nước
Cho mình hỏi là không lấy toàn bộ quà cáp gì thì giá cuối cùng phải thanh toán là bao nhiêu vậy Shop?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy toàn bộ quà cáp
Cho hỏi mức giá khi không lấy quà;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà
Không lấy quà trừ bao nhiu vậy ad?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Không lấy quà
Cho hỏi là bộ quà cellphone là pin vs loa đúng không vậy???;hoi_khuyen_mai;SALE_OFF_GIFF:bộ quà
Mình muốn lên đời A9, muốn bán lại con A8 2018 mua tại Cellphones 3/2, còn bh chính hãng samsung đến giữa 5/2019, máy đang xài tốt, không biết Cellphones có thu lại không ạ? ;hoi_doi_cu_lay_moi;PHONE:A8 2018|LOCATION:Cellphones 3/2
Giá cuối cùng khi ko lấy bất kỳ món quà nào là bao nhiêu vậy shop;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy bất kỳ món quà
cho mình hỏi k nhận bộ quà CPS thì dc quy đổi vào giá máy dc k ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:k nhận bộ quà
E đang dùng sim 3G Mobiphone muốn chuyển qua 4G đc hông ạ;hoi_phan_cung;IS_4G:qua 4G
nếu mình không lấy quà thì giá máy còn bao nhiêu vậy;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà
Cho em hỏi là nếu như không lấy pin và loa thì giá sản phẩm sẽ còn bao nhiêu ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy pin và loa
Nếu không lấy tất cả quà thì giá là bao nhiêu;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy tất cả quà
nếu ko lấy quà tặng thì giá còn bao nhiêu ạ + có hỗ trợ trả góp 0% lãi ko ạ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy quà tặng
Sản phầm này có hỗ trợ trả góp không ạ? và Nếu trả góp thì có ưu đãi gì không ạ?;hoi_tra_gop;IS_NEEDED:hỗ trợ trả góp
Mình muốn trả góp qua thẻ Visa thì hình thức như thế nào,bn tháng .;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:trả góp qua thẻ Visa
Cần thủ tục gì không?;hoi_tra_gop;IS_NEEDED:thủ tục gì
Nếu ko lấy Pin sạc dự phòng Loa bluetooth, Film và Spotify trong phần quà tặng của A9 thì có đc trừ vào giá 12tr490 ko ạ ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy Pin sạc dự phòng
Nếu sp này không lấy quà tặng thì giá sẽ còn bn ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy quà tặng
San pham co samsung pay khong?;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:co samsung pay
E này có chống nước k ad?;hoi_phan_cung;IS_WATER_PROTECTED:có chống nước
mình ở bình dương mua A9 bên cellphones nơi nào là gần nhất vậy qtv, xin cảm ơn ạ.;hoi_dia_chi;LOCATION:bình dương|PHONE:A9
Cho mình xin thông tin quà tặng bên mình ạ;hoi_khuyen_mai;SALE_OFF_GIFF:thông tin quà tặng
Hàng này mới 100% àh shop , shop có máy chip snap drangon không;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:mới 100% àh
Trả góp 0% qua Home là trả trước và mỗi tháng trả bao nhiêu ạ? Cửa hàng ở Thái Hà còn máy ko ạ?;hoi_dia_chi;LOCATION:Thái Hà
trả trước bao nhiêu % ạ;hoi_tra_gop;IS_NEEDED:trả trước bao nhiêu
Bạn ơi, S9+ mua trả góp qua thẻ tín dụng ntn vậy?;hoi_tra_gop;IS_SUPPORTED_INSTALLMENT_THROUGH_CREDIT:trả góp qua thẻ tín dụng
bạn ơi, hiện tại ở HN còn ko bạn?;hoi_dia_chi;LOCATION:HN
S9+ có trả góp ưu đãi gì bạn nhỉ?;hoi_khuyen_mai;IS_SALE_OFF_INSTALLMENT:trả góp ưu đãi gì|PHONE:S9+
Nếu mình ko lấy phiếu mua hàng thì có giảm giá ko vậy shop?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:ko lấy phiếu mua hàng thì có giảm giá
S9plus có chống nước chống bụi ko?;hoi_phan_cung;IS_WATER_PROTECTED:chống nước|PHONE:S9plus
Mình muốn mua máy màu vàng nhưng ở Q6 thì shop nào gần nhất và shop có dán màn hình miễn phí không ạ ? ;hoi_dia_chi;COLOR:vàng|LOCATION:Q6
E trả trc 50% thì có dc lãi suất 0% k ạ;hoi_tra_gop;IS_NEEDED:trả trc 50%
Ý mình là ss s9 plus màu hoàng kim;hoi_gia;PHONE:s9 plus|COLOR:hoàng kim
Cho hỏi có đc hưởng giá ưu đãi của hom nay kg. Mình ở HN. Hay là tặng pmh 4tr600. Mình thay giá hom nay đang tốt.;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:giá ưu đãi
Cho hỏi ss s9 plus hoàng kim có ct trả góp 0% qua home credit kg?;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:ct trả góp 0% qua home credit|PHONE:s9 plus|COLOR:hoàng kim
Cho minh hoi gop 12 thang co dc ko vay;hoi_tra_gop;IS_NEEDED:gop 12 thang
Có hàng màu hoàng kim chưa shop;hoi_con_hang;COLOR:hoàng kim
màu này k có trả góp 0% với home credit ah ad;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:trả góp 0% với home credit
Còn áp dụng chương trình 20tr tại HCM ko shop?;hoi_khuyen_mai;IS_SALE_OFF_NOW:Còn áp dụng chương trình|LOCATION:HCM
mua note 9 512GB bằng giá 128GB - chỉ còn 20.390.000 hcm con hang k vay;hoi_con_hang;PHONE:note 9|ROM:512|ROM:128
Chương trình nâng cấp bản 512GB còn hàng ở HCM ko Ad ?;hoi_con_hang;ROM:512|LOCATION:HCM
Hôm nay ngày 26/11 còn áp dụng chương trình khuyến mãi này k shop;hoi_khuyen_mai;IS_SALE_OFF_NOW:còn áp dụng chương trình khuyến mãi
Mua trả góp 0% ở xa làm hồ sơ được ko shop,mình ở Ninh Thuận;hoi_tra_gop;IS_NEEDED:Mua trả góp 0%|LOCATION:Ninh Thuận
Ở quảng bình còn note 9 512gb giá 20.390 k ad;hoi_con_hang;PHONE:note 9|ROM:512|LOCATION:quảng bình
Chào bạn. Mình mua note 9 128gb ở cellphones. Giờ muốn nâng cấp bản 512GB thì phải phụ thêm bao nhiêu tiền?;hoi_doi_cu_lay_moi;PHONE:note 9|ROM:128|ROM:512
E dùng con S8+. Nó vỡ màn hình. Bây giờ muốn đổi máy s7 cần bao nhiêu tiền ạ?;hoi_doi_cu_lay_moi;PHONE:S8+|PHONE:s7
Pin ko trâu như mình nghĩ;hoi_phan_cung;HOW_LONG_PIN:Pin ko trâu
Máy sao mà giảm giá sâu vậy?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:sao mà giảm giá sâu
Tư vấn giùm mình trả góp 0% cần trả trước bao nhiêu và của công ty tài chính nào vậy?;hoi_tra_gop;IS_NEEDED:trả góp 0%
E ở hcm. Không biết note 9 512gb suất 20,9tr còn không ạ;hoi_con_hang;PHONE:note 9|ROM:512|MONEY:20,9tr|LOCATION:hcm
Làm thế nào để mua được ở Hà Nội Note 9 Hot sale 20.990 k;hoi_con_hang;LOCATION:Hà Nội|PHONE:Note 9|MONEY:20.990
Note9 512gb o hcm con mau dong ko shop. Gia tra gop ntn a;hoi_con_hang;LOCATION:hcm|PHONE:Note9|ROM:512|COLOR:dong
Chào ad.. cho m hỏi.. giá note 9 512gb 20.990.000d là còn khuyến mãi, tặng kèm gì không ạ.. m mua online ntn ạ..;hoi_khuyen_mai;PHONE:note 9|ROM:512|MONEY:20.990.000d|SALE_OFF_GIFF:tặng kèm gì không
note 9 chính hãng 512gb ram 8gb có màu đồng không ạ;hoi_con_hang;PHONE:note 9|ROM:512|RAM:8|COLOR:đồng
Cho mình hỏi shop còn note 9 512 gb màu đen ko ??;hoi_con_hang;PHONE:note 9|ROM:512|COLOR:đen
Cho mình hỏi là hết Quà tặng rồi ạ;hoi_khuyen_mai;IS_SALE_OFF_NOW:hết Quà tặng rồi ạ
Quà có được hoàn trả hoặc đổi không ?;hoi_doi_cu_lay_moi;CAN_SELL_BACK:hoàn trả|CAN_SELL_BACK:đổi
có đc trừ thẳng quà không ??;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ thẳng quà
Cho mình hỏi đây là máy lock hay máy gì 512gb mà 32tr vậy..;hoi_nguon_hang;WHAT_FROM_TYPE:máy lock hay máy gì|ROM:512
Cho em hỏi bên mình có chính sách trả góp 0% trong kỳ hạn 3 tháng không ạ?;hoi_tra_gop;IS_NEEDED:trả góp 0%
XS max bản 512 GB ở HCM hết hàng...nhưng ở Hà nội thì còn hàng..cua hang minh co thể giao vào HCM bán cho khách k..và khoang bao lâu hàng về HCM ?;hoi_khi_nao;PHONE:XS max|LOCATION:HCM|LOCATION:Hà nội|ROM:512
sao con này rẽ vạy ad 500gb mà co 35tr là sao ạ;hoi_gia;ROM:500|MONEY:35tr
Phiếu mua hàng 500k có được trừ thẳng vào sản phẩm không?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:trừ thẳng vào sản phẩm
Cho hỏi là có mã giảm cho khách hàng mới khi nhận thông báo qua email 10%, thì lúc mua hàng được áp dụng chung với cả galaxy gift và phiếu mua hàng 500k luôn phải ko shop?;hoi_khuyen_mai;SALE_OFF_GIFF:mua hàng được áp dụng chung
Mình đang ở số 2 Trần phú - Hà Đông - Hà Nội . Mình muốn mua j6 plus . Cho hỏi có của hàng nào gần mình không bạn . Và phiếu mua hàng còn dc áp dụng không bạn;hoi_dia_chi;PHONE:j6 plus|LOCATION:Trần Phú|LOCATION:Hà Đông|LOCATION:Hà Nội
Em muốn mua j6+ thì h khuyến mãi đc j ko;hoi_khuyen_mai;PHONE:j6+|IS_SALE_OFF_NOW:h khuyến mãi đc j
J6 plus có kháng nước ko ạ;hoi_phan_cung;IS_WATER_PROTECTED:kháng nước|PHONE:J6 plus
Em ms mua j6 plus mà sao mau hết pin quá ạ;hoi_phan_cung;HOW_LONG_PIN:mau hết pin|PHONE:j6 plus
Về j6+ mình mới mua đc 2 ngày mà s thấy nó mau tuột pin nhanh dù đã tắt hết chạy ngầm.h thêm tự độbg tắt nguồn là s v ad???;hoi_phan_cung;HOW_LONG_PIN:mau tuột pin|PHONE:j6+
Với Samsung thi ben minh co bao nhieu loai op lung, rieng dòng J thoi  ? ;hoi_phan_cung;PHONE:dòng J|WHAT_PHONE_CASE:loai op lung
Hiện bên mình có còn hỗ trợ trả góp lãi suất 0% sản phẩm J6+ không ạ? Và nếu mua trả góp thì có được tặng pmh 500k hay không? Mình cũng có mã giảm tối đa 100k của cellphones thì có áp dụng cho trả góp không ạ!;hoi_tra_gop;PHONE:J6+|IS_NEEDED:hỗ trợ trả góp
Trả góp 0% sao vậy ads?;hoi_tra_gop;IS_NEEDED:Trả góp 0%
Cho mình hỏi thủ tục đổi máy cũ lấy máy mới như thế nào ạ??;hoi_doi_cu_lay_moi;PROCEDURE:thủ tục đổi máy cũ
Phiếu mua hàng có được trừ vào sản phẩm k b;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:được trừ vào sản phẩm
Shop cho mình hỏi j7 pro và j6+ máy nào chơi game ổn hơn và đỡ giật lag hơn ạ??;hoi_nhu_cau;PHONE:j7 pro|IS_FINE_WHILE_PLAYING:chơi game ổn
Cho mình hỏi shop có máy j6+ 64gb Ram k ạ và giá là bn ạ?;hoi_gia;PHONE:j6+|ROM:64
Cellphones có chi nhánh nào tại Hà Đông k ạ??;hoi_dia_chi;LOCATION:Hà Đông
Mình mua máy ở cellphones giờ muốn bán lại để mua j6+ có được k và thủ tục ntn ạ??;hoi_doi_cu_lay_moi;PHONE:j6+|PROCEDURE:thủ tục ntn
Mình còn đc giảm PMH 500k khi mua j6+ nữa không ? Mình ở Q.7;hoi_khuyen_mai;IS_SALE_OFF_NOW:còn đc giảm|PHONE:j6+
còn tặng PMH 500K nữa không ạ ?;hoi_khuyen_mai;IS_SALE_OFF_NOW:còn tặng
Khi mình mua j6+ ý. Đc KM PMH 540k thì có trừ thằg vào tiền mua j6+ k ạ;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:có trừ thằg vào tiền mua|PHONE:j6+
j6+ này mua trả góp thì có đc KM PMH 540k không ạ? hàng này ở Hà Nội còn không ạ;hoi_khuyen_mai;IS_SALE_OFF_INSTALLMENT:mua trả góp|PHONE:j6+
j6+ mau đỏ bao jo có hàng shop ?;hoi_khi_nao;PHONE:j6+|COLOR:đỏ
kg co mau hong ha shop ?;hoi_con_hang;COLOR:hong
Cho em hỏi samsung galaxy j6 plus giá 4.690.000 sau khi trừ  phiếu mua hàng là còn 4.190.000 phải không ạ ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:sau khi trừ|PHONE:samsung galaxy j6 plus
em ở bình dương cầm mua j6 plus;hoi_dia_chi;LOCATION:bình dương|PHONE:j6 plus
Máy nova 3e mjk mua đc từ tháng 7 rồi h muốn mua y9 cần bù thêm bao nhiu ạ;hoi_doi_cu_lay_moi;PHONE:nova 3e|PHONE:y9|EXTRA_MONEY:bù thêm bao nhiu
Shop có thanh toán qua thẻ tín dụng hsbc dc ko ak;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:thanh toán qua thẻ tín dụng|BANK:hsbc
shop có cửa hàng nào gần chùa láng nhất k v?;hoi_dia_chi;LOCATION:chùa láng
Khi nào về màu đỏ vậy ạ;hoi_khi_nao;COLOR:đỏ
j6 plus sài chip snap 430 hay 425 z ad;hoi_phan_cung;WHAT_CHIP:sài chip snap 430 hay 425 z|PHONE:j6 plus
J6+ bên mình có màu đỏ chưa shop;hoi_con_hang;PHONE:J6+|COLOR:đỏ
Mình không lấy PMH 500.000₫ thì khi mua máy chỉ phải trả 4.190.000₫ phải không ad? Và mình ở Tân Mỹ- Mỹ Đình thì ra cửa hàng nào gần nhất vậy ad? Cảm ơn!;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:chỉ phải trả|LOCATION:Tân Mỹ|LOCATION:Mỹ Đình
Samsung galaxy j6+ có giá là 4.190.000 phải ko a, vạy nếu cộng PMH 500k vào thì giá của  sansung galaxy j6+ sẻ  có giá là bao nhiêu vạy a;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:cộng PMH 500k|PHONE:Samsung galaxy j6+
Thế giờ e mua j6plus ko lấy phiếu mua hàng thì e phải trả bn tiền ạ;hoi_gia;PHONE:j6plus|IS_PRICE_AFTER_SALE_OFF_PRICE:phải trả bn
j6 plus còn mầu khác k bạn;hoi_con_hang;WHAT_ELSE_COLOR:còn mầu khác|PHONE:j6 plus
Phiếu mua hàng này chỉ có áp dụng  với mua online ko a?;hoi_khuyen_mai;IS_SALE_OFF_NOW:chỉ có áp dụng  với mua online
mình muốn đổi máy cũ với máy này có bù trừ gì thêm không? có thì gồm những gì v ad?;hoi_doi_cu_lay_moi;EXTRA_MONEY:bù trừ gì thêm
Cho em hỏi máy này có bộ nhớ chính xác là 3G/32G hay 4G/64G vậy;hoi_phan_cung;WHAT_ROM:bộ nhớ chính xác|ROM:32|ROM:64
Mua tra gop can nhung j vay;hoi_tra_gop;IS_NEEDED:tra gop can
Hàng này 2 sim vật lý và là hàng mới đúng không shop? mình muốn mua máy màu trắng bên shop có hàng không?;hoi_phan_cung;HOW_NUMBER_SIM:2 sim
Quá kì vậy note 9 mới còn có 21 tr bản 512 g thoi;hoi_gia;PHONE:note 9|ROM:512
Sao báo kêu note 9 512 g giảm còn 21tr mà hãng bán giá cũ vậy;hoi_gia;PHONE:note 9|ROM:512
cái nay 2 sim nano hả cellphone?;hoi_phan_cung;WHAT_SIM:sim nano
nếu ko lấy quà thì có được giảm giá không, khi mua trả góp thì dựa trên giá gốc hay giá giảm vậy;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:được giảm giá không
shop cho hỏi k lấy quà trừ được bn tiền vậy;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:k lấy quà
nó là màn OLED mà s trên đây ghi AMOLED vậy ??;hoi_phan_cung;IS_OVER_FLOW_SCREEN:màn OLED
Mình ở gần khu thái hà. Bên bạn có thể chuyển máy từ hồ tùng mậu về thái hà có dc ko;hoi_con_hang;LOCATION:thái hà
E mới mua 3i đc 7 ngày h muốn đổi lên 20 pro đk ko ạ cần tư vấn;hoi_doi_cu_lay_moi;PROCEDURE:muốn đổi lên|PHONE:3i
Mình có mua 1máy p20 pro được 3 tháng, có mua thêm gói bảo hành Vip 1tr7 . Giờ máy mình bị rơi, trầy xướt phần viền. Có bảo hành lại cho mình ko;hoi_bao_hanh;IS_BROKEN_GLASS:bị rơi
Ko lấy quà giá bao nhiêu, mình ở sài gòn;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Ko lấy quà
Ở HN còn máy không ?;hoi_con_hang;LOCATION:HN
Nếu không lấy loa + sim thì trừ bao nhiêu tiền ?;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:không lấy loa + sim 
